/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac04.px	2025-09-08	Accounting of documents by indicators and years
/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac05.px	2025-09-08	Creation of information-search system of documents by indicators, types of documents and years
/2 Population and social processes/21 Culture/218 Archival activity/ps-cl-ac06.px	2025-09-08	Use and publication of documents by indicators and years
/2 Population and social processes/21 Culture/219 State registration of immovable historical and cultural monuments/ps-cl-hcm01.px	2025-06-03	State registration of immovable historical and cultural monuments by indicators, marzes and years
/2 Population and social processes/21 Culture/2110 Zoo/ps-cl-zoo.px	2024-02-17	Zoos by indicators and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi01.px	2025-04-30	Number of state and municipal preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi02.px	2025-04-30	Number of non-state preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi03.px	2025-12-16	Number of non-operating preschool institutions from 2010 to 2022 by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi04.px	2025-04-30	Number of children of state and municipal preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi05.px	2025-05-05	Number of children of non-state preschool institutions by indicators, by marzes, by years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi06.px	2025-12-16	Number of children of state and municipal preschool institutions from 2010 to 2020 by indicators, age and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi07.px	2025-12-16	Number of children of non-state preschool institutions from 2010 to 2020 by indicators, age and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi08.px	2025-05-05	Number of children of state and municipal preschool institutions by indicators, age and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi09.px	2025-05-05	Number of children of non-state preschool institutions by indicators, age and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi10.px	2025-05-05	Number of pedagogical-educative staff of state and municipal preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi11.px	2025-05-05	Number of pedagogical-educative staff of non-state preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi12.px	2025-05-05	Number of pedagogical-educative staff of state and municipal preschool institutions by indicators, seniority and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi13.px	2025-05-05	Number of pedagogical-educative staff of non-state preschool institutions by indicators, seniority and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi14.px	2025-06-17	Enrollment rate of children of preschool institutions by indicators and years
/2 Population and social processes/22 Education/221 Preschool institutions/PS-ed-pi15.px	2025-06-17	Enrollment rate of children of preschool institutions by indicators, marzes and years
/2 Population and social processes/22 Education/222 General education institutions/ps-ed-gei01.px	2025-05-20	Number of state general schools by indicators, marzes and years
/2 Population and social processes/22 Education/222 General education institutions/ps-ed-gei02.px	2025-05-23	Number of non-state general schools by indicators, marzes and years
